Channel,Channel Name
Channel 1,MEG1622+1623
Channel 2,MEG1342+1343
Channel 3,MEG1632+1633
Channel 4,MEG0232+0233
Channel 5,MEG0242+0243
Channel 6,MEG0112+0113
Channel 7,MEG0122+0123
Channel 8,MEG0142+0143
Channel 9,MEG1512+1513
Channel 10,MEG1542+1543
Channel 11,MEG1812+1813
Channel 12,MEG1622+1623
Channel 13,MEG1522+1523
Channel 14,MEG1612+1613
