0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203
0.0,6.418392034496398e-23,0.0,1.9426459604139498e-22,0.0,8.129848077967868e-23,0.0,6.687570063103053e-23,0.0,5.508335235325312e-23,0.0,3.7479225709064593e-23,0.0,6.30251138320355e-23,0.0,4.523112770203604e-23,0.0,1.6825457053224502e-23,0.0,1.2108925597853655e-23,0.0,9.502443539640189e-24,0.0,4.719266784740446e-23,0.0,3.166724588182534e-23,0.0,1.498897957004563e-23,0.0,2.2510984687504105e-23,0.0,3.577264669048966e-23,0.0,4.743259108056252e-24,0.0,7.688204636381489e-24,0.0,3.566637714532507e-24,0.0,5.242072803760538e-24,0.0,3.6744008892275596e-24,0.0,3.843506505819594e-24,0.0,4.095070627523972e-24,0.0,6.0369149961547604e-24,0.0,7.026157517096504e-24,0.0,1.06707869945655e-23,0.0,1.3891739964543503e-23,0.0,1.1902304229865953e-23,0.0,8.015530616439149e-24,0.0,6.144087594478855e-24,0.0,1.3343714675090392e-23,0.0,1.8732312392790407e-23,0.0,1.0557614785387202e-23,0.0,7.529906305452792e-24,0.0,3.544851179872746e-24,0.0,5.908900804844371e-24,0.0,6.045463431684358e-24,0.0,5.220798972781093e-24,0.0,1.1357627019970927e-23,0.0,2.367043825511884e-23,0.0,3.524699822672393e-23,0.0,2.4679306190690897e-23,0.0,3.482350592954876e-23,0.0,9.807367865381042e-23,0.0,4.530271369084999e-23,0.0,1.5884233767813802e-23,0.0,4.526265736128055e-23,0.0,5.473775225162748e-23,0.0,5.998725588860518e-23,0.0,4.581125784162829e-23,0.0,5.853775804665941e-23,0.0,3.15297732344226e-23,0.0,3.508344869153962e-23,0.0,2.881925341033516e-23,0.0,4.086104890201868e-23,0.0,8.749975758088435e-23,0.0,6.48832839841097e-23,0.0,7.814155073333965e-23,0.0,1.415804290264318e-23,0.0,2.909678543037616e-23,0.0,2.2140527567973547e-23,0.0,6.324998438027384e-23,0.0,5.848154032091206e-23,0.0,4.81401291110051e-23,0.0,6.847255591275551e-23,0.0,6.734851976070349e-23,0.0,1.9057506769059132e-23,0.0,1.6331474135998206e-23,0.0,1.1154746324358125e-23,0.0,1.0804692778306017e-23,0.0,1.3072401728625588e-23,0.0,1.7921266942021953e-23,0.0,3.04002502377248e-23,0.0,5.983117007442227e-23,0.0,6.5394058946311975e-24,0.0,1.290080681161766e-23,0.0,1.6726802527415667e-23,0.0,1.5350662987289565e-23,0.0,1.6593260902051286e-23,0.0,2.4677923171911683e-23,0.0,1.924068886395612e-23,0.0,3.3311220071070383e-23,0.0,1.9096391747234872e-23,0.0,2.633195703844025e-23,0.0,1.4721555684362087e-23,0.0,1.3002695416932082e-23,0.0,1.0479854403361675e-23,0.0,1.699877828928984e-23,0.0,2.1441809304801657e-23,0.0,3.0630250476592743e-23,0.0,3.018080441480426e-23,0.0,3.317271740510782e-23,0.0,1.4469154041757978e-23,0.0,1.7628691873732536e-23,0.0,1.7439635074612986e-23,0.0,4.096403431649683e-23,0.0,7.576856078266487e-24,0.0,7.351909070782957e-24,0.0,1.0023914882474588e-22,0.0,3.3214824036227616e-23,0.0,2.865319520528079e-23,0.0,3.639838025242697e-23
0.0,8.707601127331667e-23,0.0,1.924730275856962e-23,0.0,2.6852266251609844e-23,0.0,9.095353814718419e-23,0.0,1.3902617778690502e-23,0.0,7.394200297317999e-24,0.0,1.6945958465600216e-23,0.0,2.0279915495622567e-23,0.0,1.669146622658433e-23,0.0,8.771741784704805e-24,0.0,7.440359603586101e-24,0.0,2.1246512052928126e-23,0.0,1.383548909326043e-23,0.0,1.1573834190120112e-23,0.0,1.3236554723252958e-23,0.0,2.242958742229306e-23,0.0,5.7446285137493156e-24,0.0,3.936789714467685e-24,0.0,4.168983145345841e-24,0.0,4.5927017840655105e-24,0.0,5.65950659842828e-24,0.0,3.988039854822388e-24,0.0,5.768836508639731e-24,0.0,7.14771692343383e-24,0.0,8.349935904584822e-24,0.0,2.110409001403172e-23,0.0,2.1521312175830125e-23,0.0,1.1663388636276844e-23,0.0,7.99189321640314e-24,0.0,8.974613620000815e-24,0.0,1.1103844038537543e-23,0.0,1.2992982728895057e-23,0.0,1.0835587603229127e-23,0.0,1.3118207591687076e-23,0.0,9.769815823547456e-24,0.0,7.268472856040731e-24,0.0,1.869323378032817e-24,0.0,4.366104220904224e-24,0.0,1.136588809461787e-23,0.0,9.348741262179365e-24,0.0,2.332151299358214e-23,0.0,2.5973838974320346e-23,0.0,1.5288728570447743e-23,0.0,1.6484798907166887e-23,0.0,7.213472352296736e-24,0.0,1.9715256996242498e-24,0.0,1.44029060122685e-23,0.0,1.8323748712307087e-23,0.0,3.9040929401987456e-23,0.0,2.1297573032002992e-23,0.0,1.573647509271468e-23,0.0,7.470509068708413e-24,0.0,4.786093480373645e-24,0.0,8.205280028408588e-24,0.0,3.541947295889316e-23,0.0,2.7105037875644576e-23,0.0,2.320984421333262e-22,0.0,1.9667760264451303e-22,0.0,1.6000845371551587e-23,0.0,7.741759502856877e-24,0.0,1.0940689764529088e-23,0.0,9.8387066852936e-24,0.0,2.0318557270362973e-22,0.0,2.2631335876836017e-23,0.0,2.2673104327514747e-23,0.0,1.1445099928085332e-22,0.0,8.38906369176082e-24,0.0,3.7931084051108296e-24,0.0,6.635803744255733e-24,0.0,8.878810340538358e-24,0.0,1.381295535974527e-23,0.0,2.966522610685291e-23,0.0,2.3877625277614605e-23,0.0,1.2586372079613981e-23,0.0,2.5565272341853423e-24,0.0,7.870951997484989e-24,0.0,1.563768602397942e-23,0.0,1.3348119061064236e-23,0.0,8.330895162306989e-24,0.0,1.1161584743663244e-23,0.0,1.7087108151592495e-23,0.0,4.7816546752855065e-23,0.0,1.9369636744343095e-23,0.0,1.8534184145559644e-23,0.0,8.31392046891186e-24,0.0,1.5012693007709437e-23,0.0,1.0490395213976554e-23,0.0,9.509058270306434e-24,0.0,4.5571431650767236e-24,0.0,7.134261251718205e-24,0.0,2.2341858778034357e-23,0.0,3.345360116594256e-23,0.0,1.152494526404945e-23,0.0,1.0183877762568693e-23,0.0,1.0732639557395288e-23,0.0,2.764609184559898e-23,0.0,1.6182858398116787e-23,0.0,4.204390346514291e-24,0.0,2.0123668086677815e-23,0.0,3.3013309909484804e-23,0.0,7.283377393511335e-23,0.0,1.989833237095475e-23
0.0,8.237528289554651e-24,0.0,2.423728044563181e-23,0.0,2.3089489299612347e-23,0.0,1.0164135790174988e-23,0.0,3.1606777205968044e-23,0.0,5.7625024888446535e-24,0.0,4.394621006064961e-23,0.0,5.540070007887852e-23,0.0,2.092703651010501e-23,0.0,1.1718954838974385e-23,0.0,6.982620996141032e-24,0.0,2.5967188156664755e-23,0.0,3.684164860483446e-24,0.0,4.424262687331219e-24,0.0,6.644246034303013e-24,0.0,1.341314467713988e-23,0.0,1.1031772670032833e-23,0.0,9.634349232491769e-24,0.0,8.217329717951982e-24,0.0,1.1111573215013316e-23,0.0,6.754021360708104e-24,0.0,3.657154711368229e-24,0.0,7.48876106136446e-24,0.0,3.990422739374164e-24,0.0,1.0071471753936307e-23,0.0,6.890360963782057e-24,0.0,7.584633172299716e-24,0.0,6.48603766676583e-24,0.0,8.507026522432744e-24,0.0,5.752235238492051e-24,0.0,5.4286420485744315e-24,0.0,4.1845653668075e-24,0.0,5.185276069590083e-24,0.0,5.084258870330999e-24,0.0,4.824902625353371e-24,0.0,4.6054015163013034e-24,0.0,2.1091071368227376e-24,0.0,3.125109084631536e-24,0.0,3.909401077653701e-24,0.0,4.9620478462665026e-24,0.0,1.1406362529913387e-23,0.0,1.1431588640106712e-23,0.0,5.589740220759115e-24,0.0,6.353899828556863e-24,0.0,6.1036901907052184e-24,0.0,3.762326817102534e-24,0.0,5.7610682373310925e-24,0.0,1.901127174777752e-23,0.0,6.511841244350592e-23,0.0,7.198080128867107e-24,0.0,9.919903331207277e-24,0.0,9.353232138651802e-24,0.0,5.3218987983093126e-24,0.0,1.5105632797099476e-23,0.0,3.596500250916593e-23,0.0,3.7196501094529957e-23,0.0,1.421846188536381e-23,0.0,2.195877917175065e-23,0.0,2.5264363832638514e-23,0.0,1.3702723756718174e-23,0.0,3.420598032879402e-23,0.0,2.457581277794771e-23,0.0,1.6379462373480964e-23,0.0,6.447624161273889e-24,0.0,9.42199138467546e-24,0.0,1.1435756280821114e-23,0.0,2.0020103062983705e-23,0.0,8.160221095901621e-24,0.0,3.74192485474728e-24,0.0,9.654588392039472e-24,0.0,1.5713551773734046e-23,0.0,7.149034137879228e-24,0.0,7.108839586909209e-24,0.0,7.809429827102798e-24,0.0,6.81606551736298e-24,0.0,6.695339100668865e-24,0.0,2.0327502562312274e-23,0.0,1.3023925692728927e-23,0.0,1.4789062889914387e-23,0.0,5.508695993188266e-24,0.0,8.794579141724223e-24,0.0,1.1966198986177727e-23,0.0,1.7105366787860432e-23,0.0,1.1505586425677605e-23,0.0,1.2512258089069697e-23,0.0,7.111288979900538e-24,0.0,9.584544861397055e-24,0.0,7.291644641496997e-24,0.0,4.420728310217773e-24,0.0,1.9752061302397677e-23,0.0,5.534996283342852e-24,0.0,2.4106619250397898e-23,0.0,1.1443131234053713e-23,0.0,1.1242207015490427e-23,0.0,1.7547566114980696e-23,0.0,1.236800718944109e-23,0.0,1.2388226184570696e-23,0.0,1.3396747370782188e-23,0.0,2.2715127122761818e-23,0.0,7.704537351393938e-24,0.0,7.483024846796665e-24,0.0,5.0049387356167666e-23
0.0,6.44241784035917e-24,0.0,1.3340900663047769e-23,0.0,1.0056027712253271e-23,0.0,4.7446415497670796e-24,0.0,1.3739553932279695e-23,0.0,2.977881903762101e-23,0.0,1.60930077421947e-23,0.0,1.3035921813194332e-23,0.0,2.1230853433026222e-23,0.0,2.0023434644504678e-23,0.0,3.485718115693333e-23,0.0,1.3616898316182184e-23,0.0,2.4948423103401822e-23,0.0,1.3891643802970148e-23,0.0,1.8039482390928705e-23,0.0,2.7233420096799456e-23,0.0,1.3935457895735928e-23,0.0,1.8536744876922458e-23,0.0,4.1265736303687386e-23,0.0,2.591865682391911e-23,0.0,3.950085032974514e-23,0.0,2.6819905580403545e-23,0.0,1.042245512547269e-23,0.0,2.5550732007714414e-23,0.0,5.317979818271596e-24,0.0,1.6742672231467134e-23,0.0,1.2546333236988841e-23,0.0,8.414538530876209e-24,0.0,1.8274201668188162e-23,0.0,2.848228386275869e-23,0.0,1.353629471736828e-23,0.0,1.0851542013362257e-23,0.0,8.540096865527063e-24,0.0,1.1010769463485356e-23,0.0,4.12071784698331e-23,0.0,1.7939075640550966e-23,0.0,1.3882157246278825e-23,0.0,1.5701529180627182e-23,0.0,1.1808772199827331e-23,0.0,2.0563745577335176e-23,0.0,1.5906234406862585e-23,0.0,1.7574469608976793e-23,0.0,1.7452733331596615e-23,0.0,9.935823710759087e-24,0.0,1.7056414607446328e-23,0.0,2.23646948857552e-23,0.0,1.777056712361462e-23,0.0,8.5624670626574e-24,0.0,6.349851451961565e-24,0.0,9.672623386756377e-24,0.0,1.038048780725684e-23,0.0,5.041108825258584e-23,0.0,1.7791565975432396e-23,0.0,1.0352085671485375e-23,0.0,1.1701150559807098e-23,0.0,1.4131378034002463e-23,0.0,6.198742246220378e-24,0.0,5.2323217844934194e-24,0.0,8.569017879540685e-24,0.0,9.92283564348378e-24,0.0,5.858443243640326e-24,0.0,4.603918018919627e-24,0.0,8.377856461854192e-24,0.0,9.110837606367568e-24,0.0,6.251177498046131e-24,0.0,8.140474019744821e-24,0.0,1.2529030643569587e-23,0.0,1.03029945376242e-23,0.0,6.326723299385064e-24,0.0,5.567804517628716e-24,0.0,4.0369161669269915e-24,0.0,5.297193187767827e-24,0.0,4.1553832029097315e-24,0.0,5.957351720044049e-24,0.0,5.2297136431202456e-24,0.0,5.4277922964969886e-24,0.0,4.7307571967512085e-24,0.0,6.593426696793203e-24,0.0,3.6603261456686904e-24,0.0,1.0456362340996732e-24,0.0,2.668087040248931e-24,0.0,5.2265710878732345e-24,0.0,1.1500406660378063e-23,0.0,6.517963749655769e-24,0.0,3.4955332347301204e-24,0.0,8.692039625685236e-24,0.0,2.4389545801200816e-24,0.0,7.523613712781988e-24,0.0,2.043778259247482e-24,0.0,7.705302924902527e-24,0.0,9.368415963053261e-24,0.0,7.096530746877095e-24,0.0,4.861735804897855e-24,0.0,4.485119499489928e-24,0.0,4.539653232406327e-24,0.0,5.891281118067941e-24,0.0,2.948851977852065e-24,0.0,3.1320258230598194e-24,0.0,3.419555027452034e-23,0.0,6.344865764165442e-23,0.0,9.710953966672384e-24,0.0,3.1374877034909717e-23
0.0,9.607743598482243e-23,0.0,7.207360260467191e-23,0.0,1.3174027100344311e-23,0.0,4.749896579181514e-23,0.0,4.25288856771575e-23,0.0,3.503962926537175e-23,0.0,3.8000144458109544e-23,0.0,6.195727295124855e-23,0.0,1.015953815152837e-22,0.0,2.3932754994091364e-23,0.0,8.164779405933304e-24,0.0,4.9270099352750417e-23,0.0,1.2864965006754931e-23,0.0,2.0185551716341463e-24,0.0,1.1868850932444224e-23,0.0,2.85396693857285e-23,0.0,7.333807010689025e-23,0.0,4.1385694780617906e-23,0.0,1.9222450837991195e-23,0.0,2.3447166793007467e-23,0.0,5.991392383119343e-24,0.0,1.1322639158350195e-23,0.0,2.161093766928974e-24,0.0,5.438300819906398e-24,0.0,8.303651365996004e-24,0.0,1.0870593339692885e-23,0.0,1.205099668620316e-23,0.0,1.6568126249919014e-23,0.0,3.4265059981393894e-23,0.0,2.6434734827059722e-23,0.0,3.9584461375830803e-23,0.0,5.639766128552941e-23,0.0,2.3179892260886712e-23,0.0,3.1126001062122356e-23,0.0,1.2195719695490023e-23,0.0,1.8613194895810778e-23,0.0,1.787433859885463e-23,0.0,1.0581584593912172e-23,0.0,1.9563701039655456e-23,0.0,2.3633732207600005e-23,0.0,2.5302539293532208e-23,0.0,1.2787545856362102e-23,0.0,9.919756513516945e-23,0.0,7.905811249309033e-23,0.0,1.611613795970243e-23,0.0,1.0380514246520207e-23,0.0,7.968236459510453e-24,0.0,3.74889061535123e-23,0.0,3.241971204342449e-23,0.0,1.7960076685869345e-23,0.0,2.0799471603211905e-22,0.0,6.131735649373537e-23,0.0,6.642187834229478e-23,0.0,7.12437717838449e-23,0.0,5.007036059970744e-23,0.0,2.2603144541578636e-23,0.0,3.007148904470297e-23,0.0,3.7525607814711834e-23,0.0,2.0955903161146695e-23,0.0,2.3800388922386438e-23,0.0,1.0966296371149322e-23,0.0,7.269195440984601e-23,0.0,2.81777769222701e-23,0.0,9.902733310144462e-24,0.0,2.2575177443797654e-23,0.0,3.5902314803499284e-23,0.0,1.2711521155003346e-23,0.0,1.876349638384288e-23,0.0,1.93884756327295e-23,0.0,1.1832161220597677e-23,0.0,1.4358283408517104e-23,0.0,1.821144502449204e-23,0.0,1.7663278480331427e-23,0.0,5.204079634402039e-23,0.0,2.752598053412864e-23,0.0,2.746766582381864e-23,0.0,2.0927391804189442e-23,0.0,1.9291425934726312e-23,0.0,2.1768719736557497e-23,0.0,1.0312296189630111e-23,0.0,3.263032799077406e-23,0.0,3.178979749980445e-23,0.0,9.207160492499825e-24,0.0,2.068691157715054e-23,0.0,1.9137621542562885e-23,0.0,2.01024370425496e-23,0.0,1.8686836562376225e-23,0.0,3.817285741579738e-24,0.0,1.0690573046859804e-23,0.0,8.809820036170366e-24,0.0,1.0965515768218543e-23,0.0,1.355959218341646e-23,0.0,7.766357705483544e-24,0.0,2.0814326268223268e-23,0.0,1.3156310960117899e-23,0.0,1.7507286924133668e-23,0.0,3.069901210135548e-23,0.0,3.254980943016229e-23,0.0,1.1402510000757533e-23,0.0,5.773583033357429e-23,0.0,3.687111431402713e-23,0.0,1.839718184354622e-23
