0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203
4.192213723750181e-21,9.384961160775624e-21,4.907935493472457e-21,1.1617043085344401e-20,4.171278242473252e-21,1.0482545123927416e-20,9.796564480527497e-21,2.1851914014053604e-20,4.2968916536254945e-21,9.26453887997916e-21,1.9462405303917737e-21,4.371446239269073e-21,2.0188092376732075e-21,4.066433775947051e-21,3.0801808018866998e-21,8.5659417987713e-21,2.166654103607047e-21,4.548245793998481e-21,1.2250747881361977e-21,2.935657359866494e-21,8.379323460275958e-22,1.729117101751549e-21,4.113934101214605e-21,7.54131469208112e-21,9.603566690518625e-22,2.2194769722312825e-21,6.173144223135908e-22,1.39464727596959e-21,6.049157281004319e-22,1.5268567732581436e-21,9.295232259740642e-22,2.289450805005989e-21,1.0941031849487558e-21,2.6979796050391987e-21,8.4395363616426975e-22,2.0109015829664492e-21,6.692066374377538e-22,1.620888861234078e-21,7.544857762933785e-22,2.073522531811624e-21,5.81036261294231e-22,1.2872333074322721e-21,5.015086811351192e-22,1.1697515147711634e-21,3.9525129503632176e-22,1.169187062919221e-21,5.39190265324032e-22,1.1709046019093505e-21,4.3749056452862585e-22,1.0675123703760468e-21,4.0979793303120896e-22,1.2191597050459355e-21,3.638130310694175e-22,1.0439799276254252e-21,3.3535982821836765e-22,1.0253467813294141e-21,7.399715424556451e-22,1.566499905509493e-21,6.016556580679276e-22,1.4507018176035866e-21,7.980513223840324e-22,1.550767663254441e-21,9.67886861878865e-22,1.6800204374221612e-21,5.484502962088025e-22,1.3002505368504754e-21,4.901172526462901e-22,1.1699418532616598e-21,6.0483559494294285e-22,1.2985522201027887e-21,4.1821190817798677e-22,1.0216022052783437e-21,4.969991460109873e-22,1.0270611855068514e-21,4.931240771462933e-22,1.2101898925645734e-21,6.669443580518658e-22,1.3500002402459823e-21,1.0703180108571661e-21,2.047736576638383e-21,8.668178909375629e-22,2.4320887973069608e-21,5.5088122042191205e-22,1.7775150270873525e-21,1.3049038295029014e-21,2.869374215911947e-21,2.6143284233689843e-21,5.5156477755106854e-21,1.0478364288983678e-21,2.4012370637272847e-21,5.764374270064223e-22,1.3153752764371202e-21,1.6361919926433295e-21,3.691831651451147e-21,2.7436320288369278e-21,9.322649394220838e-21,3.3004554856849085e-21,9.446517238981187e-21,1.6484679861395613e-21,4.646216992254668e-21,2.2580747311554236e-21,6.564872697516132e-21,2.5763925255161065e-21,5.466780880696219e-21,3.23553545670464e-21,7.869096425489806e-21,3.580046237023326e-21,5.964124464170047e-21,6.016512995595514e-21,1.3060672024764368e-20,6.928837901938101e-21,1.5977117348499952e-20,5.987145571598893e-21,1.543185236799407e-20,8.608504767457924e-21,2.246297732959115e-20,3.975195396966484e-21,9.846585091948384e-21,2.0125201071932043e-21,4.724870472390607e-21,1.7186739983556602e-21,4.6354462396829e-21,4.995357292984995e-21,1.0244099910705172e-20,6.4386954624994975e-21,1.9226135992618937e-20,6.805832928364078e-21,1.7105782501558688e-20,7.848350754906652e-21,1.6658167720491102e-20,9.611952580933682e-21,2.0303884669514502e-20,9.248540130717708e-22,2.6189934328822088e-21,5.133673712941263e-22,1.6041607804412803e-21,4.944241126189401e-22,1.4458748899904832e-21,9.229193021739844e-22,2.2284310709039017e-21,1.9456284676534746e-21,4.495344428294615e-21,4.720442400332821e-21,1.2620462558851977e-20,9.738419855605548e-21,2.2396057624897498e-20,4.119312992328693e-21,1.0014172131703536e-20,1.1091943838600175e-21,2.4493777084512075e-21,1.1180835260586148e-21,2.5397834130263358e-21,2.2517872015817553e-21,5.163614517630528e-21,2.407158624007814e-21,5.485162057023889e-21,3.773266517910863e-21,9.896564804232762e-21,6.90387210864002e-21,1.9962499808437403e-20,9.024226355862058e-21,2.251538582624736e-20,6.551022684239393e-21,2.3204164159761447e-20,5.722047952431103e-22,1.3159473921160275e-21,1.1023048658605452e-21,2.3002325678227067e-21,9.509961749086497e-22,2.1567971449200998e-21,5.748083742456294e-22,1.4044965182884447e-21,2.168346642365982e-21,5.037144402648677e-21,3.6539040613042495e-21,1.0207495062427205e-20,8.6413022134302e-21,2.1007669835414812e-20,4.418879646930836e-21,9.544942443250217e-21,1.6672428065088244e-21,5.120658361453917e-21,2.8572891575009232e-21,1.0333531983511971e-20,3.0687692656394337e-21,9.67322111767509e-21,1.870172974487168e-21,5.021499831046794e-21,7.31055383881921e-21,1.7041998893135534e-20,6.45695592531169e-21,1.4272054975224868e-20,8.891359042742958e-21,1.685813209866807e-20,9.305203355795857e-21,1.9042521296071594e-20,5.016114836737225e-21,9.789286992887633e-21,3.78595848291065e-21,1.0862099336802531e-20,6.831285369662532e-21,1.5756970033876944e-20,5.8704837427814076e-21,1.550926305548423e-20
2.201164367383782e-21,4.6112991166052285e-21,1.4890088607726662e-21,2.4928779601847466e-21,1.4387388687797437e-21,2.344461669753068e-21,2.839050409799691e-21,6.037983632927232e-21,1.3205326732102454e-21,2.414332051137423e-21,8.21313197048661e-22,2.0865596751442097e-21,1.3381650181910145e-21,2.899820689057895e-21,1.2879482656334653e-21,2.9743031351996523e-21,5.624937314791098e-22,1.0451894816019957e-21,6.060781501606237e-22,1.25817632149848e-21,4.588737115979214e-22,8.957393039352291e-22,1.2666102243973889e-21,2.2225801260498302e-21,7.7879006020237715e-22,1.644499334176246e-21,6.991892970178626e-22,1.2697836939689095e-21,8.53932646249983e-22,2.089858241156699e-21,1.0486826319375581e-21,2.9513144433735715e-21,2.3383292522404806e-22,6.214047700608415e-22,1.766755001488704e-22,5.465853087311825e-22,2.1700993317021003e-22,4.775956064996445e-22,2.319057761174754e-22,5.642574285482148e-22,2.4649975992561075e-22,4.955007835184254e-22,3.03077316901919e-22,7.506129019729909e-22,5.093507465183658e-22,1.0469194455145314e-21,3.633646613188948e-22,7.541945156219596e-22,6.010996761466005e-22,1.3790580730554971e-21,4.29842295139337e-22,1.3297627387355862e-21,7.025854520922691e-22,1.598334141932771e-21,6.107438873727995e-22,1.811543692179482e-21,1.6657086042801557e-22,5.887126020206478e-22,2.0543965395017424e-22,5.227223141151748e-22,1.9395089966633777e-22,6.426798461618203e-22,1.8848310631473696e-22,7.515427652553599e-22,2.503312217297831e-22,7.0888060162069985e-22,1.9022085030203569e-22,5.090642689528129e-22,2.4476991078006163e-22,5.376474706506356e-22,2.201942720696376e-22,4.925178118935533e-22,2.9389388291111335e-22,6.706119066172516e-22,3.2806633564293505e-22,9.225121023692644e-22,4.28461582244291e-22,1.1241728497547006e-21,4.718011393869674e-22,1.510347796665051e-21,9.29281386086558e-22,2.3303244957408494e-21,6.338576619174845e-22,1.6662836836542067e-21,3.8699582675844303e-22,1.1332167720305125e-21,5.561158084785608e-22,1.3153225541075487e-21,4.507802135380099e-22,1.2617122900286933e-21,3.2207669946349733e-22,9.58172382682962e-22,7.199090725013136e-22,1.9780344332714125e-21,7.975608487578101e-22,1.7401591143846812e-21,1.233519498775741e-21,2.0700681426321507e-21,1.0299575322349446e-21,2.650254129746212e-21,7.843194900527406e-22,1.4501410438395723e-21,4.348405576500873e-22,9.854592516857263e-22,6.115184690993613e-22,1.1979545913617915e-21,9.214130819439732e-22,1.5517190122783587e-21,1.2659221032129011e-21,2.6552304638465303e-21,1.2940753317744192e-21,3.503554282643191e-21,3.799166751618337e-21,7.674000603636759e-21,2.9496199937596533e-21,6.375056807121117e-21,1.612450075770473e-21,3.6626610354696105e-21,1.7852294198416977e-21,3.7936148167853375e-21,1.8981271491182947e-21,3.2350704428206444e-21,2.4433019096894352e-21,4.462621147854118e-21,3.454278364188699e-21,5.995695177929617e-21,1.364305181504577e-21,2.9756771404481244e-21,1.045897331567656e-21,2.1734257127141365e-21,2.0617396597685767e-21,4.1431796302265824e-21,1.4497004674806096e-21,3.4876079857862286e-21,1.024373035554141e-21,2.4004505843470677e-21,1.0944772971012198e-21,2.913904122309322e-21,1.4294084958622874e-21,3.0646678291562563e-21,1.7862758017179177e-21,4.3116019260735456e-21,1.0642071817144967e-21,2.5945529877559125e-21,8.93028925069234e-22,1.805343966325288e-21,1.763557372758896e-21,3.985515101831824e-21,1.6071284349813622e-21,4.794198414444088e-21,1.3433075811109802e-21,2.7626170939537555e-21,1.719409095342241e-21,4.3195799758003375e-21,1.552034490567036e-21,4.3179987930311505e-21,7.3901586696158535e-22,2.3965233696160535e-21,6.490860550417567e-22,1.5039662835798105e-21,8.603822684776582e-22,1.6360976978174212e-21,1.057640429160016e-21,2.7701810678364176e-21,7.745719498658789e-22,1.898992665141171e-21,1.228465400566458e-21,2.573306734104844e-21,1.0945141888565789e-21,2.4331039105559266e-21,1.1036310732243679e-21,2.4499767888121867e-21,1.2832617817307837e-21,3.325055201678963e-21,1.6805288630574501e-21,4.580352344168778e-21,6.412277370774937e-22,1.4828043145351651e-21,1.2355401651567169e-21,3.692248160395658e-21,1.1139647528707219e-21,2.6002272528899317e-21,1.3117651450740646e-21,2.558811810534958e-21,1.4361714836716768e-21,2.9430078133073367e-21,1.154025111909775e-21,2.9222565412720498e-21,1.0123146490282957e-21,2.32803058493578e-21,9.186352512194786e-22,2.6394978074426504e-21,5.341477975866821e-22,1.585630154618424e-21,6.4123044491454515e-22,1.3945082921712468e-21,1.1315100296153017e-21,2.1115009027824775e-21,6.493930905821151e-22,1.8426046038930518e-21,6.304673243005869e-22,1.7578197377630257e-21,1.0654208493105165e-21,2.5959807643045025e-21
5.39593911128808e-22,1.0007868282491763e-21,6.022289470175464e-22,1.5625631169501933e-21,6.765772958672305e-22,1.6314174512435025e-21,4.656943007703634e-22,8.780650308076393e-22,8.963433844553423e-22,1.936698572551078e-21,9.080146627058427e-22,2.279984581763136e-21,9.68370283553465e-22,2.344665988026531e-21,6.945950795906553e-22,1.4432193740603836e-21,9.439210780791253e-22,2.0991558098042735e-21,9.260877971061697e-22,2.393605598639222e-21,6.384680987721833e-22,2.2704787081257525e-21,7.640678625386844e-22,1.846861514983145e-21,9.562933274476353e-22,2.9974531486827224e-21,7.686420041999301e-22,2.743936220015376e-21,6.929436713506382e-22,2.1973849014042837e-21,9.752812916003392e-22,2.4761183595799458e-21,5.58589051602468e-22,1.4486436582723377e-21,4.698019465913138e-22,1.1582742929643365e-21,4.393144891470573e-22,9.930857185610255e-22,4.964861312255724e-22,1.3205590659028384e-21,4.260525535932341e-22,1.4766209613260203e-21,7.0424047300015025e-22,2.5437528861482886e-21,6.8927196948864705e-22,2.49142322946531e-21,6.472179426665675e-22,1.8578771012538818e-21,8.848172695572556e-22,2.6326271101384117e-21,9.1829266733137e-22,2.4382744128418535e-21,5.831411984382401e-22,1.670942288665256e-21,5.321981272697672e-22,1.2493751056489528e-21,5.11969790364449e-22,1.279798876740198e-21,5.51230128546253e-22,1.1404006968245545e-21,5.280276856531635e-22,1.6061756427686995e-21,5.817992198203418e-22,1.4286622692669618e-21,6.729356342297262e-22,1.4721402109878225e-21,5.110939870858779e-22,1.19003693552203e-21,5.95769062429709e-22,1.760687522388371e-21,5.021967664191523e-22,1.6912188263869157e-21,7.063190032278829e-22,2.1427559042840415e-21,9.993201931822572e-22,2.631269758807645e-21,1.0566553370366436e-21,3.1300564073496195e-21,1.0926328787959112e-21,2.9028979904145972e-21,8.186959128669641e-22,2.5921602798637635e-21,1.1861231598302147e-21,2.339296514252064e-21,8.268367444708297e-22,1.9194248014477185e-21,5.789578276811648e-22,1.4342784675671092e-21,8.666518754743953e-22,2.248116885356224e-21,8.68285242624731e-22,2.336306843829474e-21,7.564326085108767e-22,1.8253643181639682e-21,4.5968936023653115e-22,1.3822739018142879e-21,3.479111023922529e-22,8.3550794043447e-22,6.446469081353118e-22,1.6425213349366355e-21,1.0140984740576281e-21,1.972086027075396e-21,4.494469908405372e-22,9.788404000935111e-22,1.1140076390573306e-21,2.5078202316877957e-21,6.158958513093676e-22,1.3827031499309924e-21,4.702182328209888e-22,1.3862486287201322e-21,3.1454307317593837e-22,7.710296528071466e-22,3.7990636864056326e-22,1.1122185555630503e-21,4.230066577111893e-22,1.3081980015909849e-21,4.311718513683885e-22,1.0254852050999391e-21,6.443471672532969e-22,1.829985110144928e-21,4.2023129918579918e-22,9.310458987803144e-22,3.125110062957495e-22,6.777688324341824e-22,2.2440733768605583e-22,6.332952162881222e-22,2.647363291370598e-22,5.697466188934708e-22,2.6862942733546743e-22,4.888663883188482e-22,2.4183819980947887e-22,5.437649994727249e-22,5.988708674072703e-22,1.9208928031381714e-21,5.414918950014446e-22,1.5138394509301336e-21,3.534838349683553e-22,1.0416610427252544e-21,3.583093190888419e-22,8.775592322738093e-22,3.3749891505505005e-22,6.827488268324255e-22,2.284737841587323e-22,4.156520771498417e-22,2.277632740924816e-22,4.547789046414988e-22,2.444970934530425e-22,4.656441363661709e-22,4.361974187494785e-22,8.43550370173173e-22,3.448295182549588e-22,7.331925742989252e-22,3.6411627422636023e-22,6.688572749580011e-22,4.630374983493104e-22,7.659400571663745e-22,2.017187770753941e-22,3.7743280587830523e-22,1.7479192095840487e-22,4.5218508509665e-22,2.0578334208376162e-22,4.014461711902451e-22,2.549985982940147e-22,5.6194484096649505e-22,6.935169912899267e-22,1.6032248346450117e-21,6.904006704378842e-22,1.5966838786393515e-21,2.939819082720161e-22,7.034364832027872e-22,4.385831783115202e-22,1.0574909672236237e-21,2.9692387856111353e-22,6.3359191417472395e-22,2.1071711851754652e-22,5.126184570546621e-22,1.5843212811546716e-22,4.34863489019658e-22,1.6099016107528337e-22,4.409829548141263e-22,4.982767634363586e-22,1.1410952340869192e-21,3.405218521094142e-22,7.672451407663929e-22,3.0176434193282465e-22,6.316108728852691e-22,2.8987679530359254e-22,7.210266942072866e-22,1.8829863601444593e-22,4.560127684740432e-22,2.4055331297736516e-22,5.257962227336661e-22,1.7108819172172223e-22,3.661259029659678e-22,1.644900370863005e-22,3.1252393447674547e-22,1.5046354201228803e-21,3.922138961427211e-21,7.539764029572891e-22,1.6732484532970023e-21,7.678614350235078e-22,1.6584390047334742e-21,7.877238208767017e-22,2.08431602197722e-21
2.615345748045608e-21,2.779119525580268e-21,8.716444522671827e-21,7.684481645180755e-21,4.085807249084326e-21,4.930359580969675e-21,2.431415172752548e-21,2.318372383001383e-21,2.7547053785796875e-21,5.64550681999833e-21,3.485145797799473e-21,6.352671267470668e-21,4.721150872387959e-21,9.009720309001223e-21,5.174327366710571e-21,8.81553050059025e-21,5.0862987798379926e-21,4.8076360735534946e-21,3.419260318670657e-21,4.775744466005436e-21,2.221030213016867e-21,3.5194247303277085e-21,3.83330674525684e-21,5.374237120325216e-21,4.1693089726525375e-21,6.0692316181643615e-21,2.8357087134784576e-21,5.575137440881568e-21,3.461189532402495e-21,7.155250159545638e-21,6.7573884585479e-21,1.1712308813111908e-20,4.016504585504264e-21,3.6930687639691855e-21,3.4544915093372494e-21,3.2551443218093293e-21,1.7338826627991897e-21,2.0609180188746263e-21,2.5356725667164844e-21,2.734018781149089e-21,1.1626428717358694e-21,2.305860430139226e-21,1.2086016239389097e-21,3.0101156880969878e-21,1.5763955393216136e-21,3.650305982893194e-21,1.3297125281700238e-21,3.0148252615389167e-21,3.0499570049098423e-21,6.3637633372068425e-21,2.8968122282246577e-21,4.988447670169612e-21,2.9760966834490982e-21,5.542277062549498e-21,3.916227277323259e-21,9.313154754791073e-21,3.4375100806562404e-21,3.582175812009664e-21,1.7365199726968585e-21,2.1985659574715722e-21,4.539118982791722e-21,4.718093811067938e-21,6.87574193675806e-21,6.6364597166463195e-21,2.8700134850196364e-21,3.3864375706299286e-21,2.1259599317481094e-21,2.630588473800132e-21,9.390719177044022e-22,2.3363725986556415e-21,1.1727258818896373e-21,2.1490797769718683e-21,1.5713654149333966e-21,3.1584632431533742e-21,1.5385126458378647e-21,3.3485127952087544e-21,1.9544168326096075e-21,4.5981289169403475e-21,3.2171849380173523e-21,4.835866456393108e-21,3.4920623793607656e-21,8.262103785645199e-21,2.718173395547039e-21,6.003137139286192e-21,1.1402728267242856e-20,1.0101167319480566e-20,9.598555440648392e-21,8.271069271718368e-21,4.371045766992837e-21,5.3674631519366886e-21,2.2625766317447412e-21,3.1774212928949022e-21,3.944199900270881e-21,5.62909686155645e-21,5.084870999398868e-21,4.421103819326647e-21,4.292530740441482e-21,5.454220448110774e-21,3.048687156769106e-21,6.990146067572725e-21,1.6321622835193494e-20,1.7628611530526014e-20,1.0563329922714556e-20,9.550772666386614e-21,9.518735145473012e-21,8.323596066526796e-21,1.0827322610331588e-20,8.922092689063558e-21,4.531674505794378e-21,5.299109440994533e-21,4.189864297029597e-21,6.130042754415279e-21,1.6357251024834556e-21,2.74581626051815e-21,2.2894501465293738e-21,2.912649180563755e-21,3.494411916653463e-21,7.98384196030109e-21,4.87591562112236e-21,1.0479853608719572e-20,4.869343019328046e-21,1.2071733781329576e-20,4.531529623889217e-21,8.843834668879493e-21,1.379202168033816e-21,1.9471377338384855e-21,3.497223500490471e-21,5.5669088103064545e-21,2.2776963543769235e-21,4.4895339159252146e-21,1.139140104431999e-21,1.72406293206974e-21,5.9316919871584354e-21,1.0672105646881914e-20,3.847492537136519e-21,7.506254972611022e-21,4.17279507637251e-21,1.1596926617010222e-20,5.23908947062215e-21,9.390549862018165e-21,5.242307960044726e-21,1.0894472558738864e-20,4.1691928042463734e-21,8.301667619276987e-21,2.2921024755296264e-21,3.663979492327737e-21,3.613724742526755e-21,8.00917638148569e-21,4.997655211814441e-21,1.1676542607300779e-20,2.9726934775472034e-21,1.0733814217227323e-20,4.834512693503744e-21,1.2308136746979489e-20,6.520381707163766e-21,1.5129001381758065e-20,4.268968049125767e-21,8.811185289376898e-21,2.4075556404801017e-21,3.2260552319611347e-21,8.092103101916175e-22,1.3172941391411377e-21,1.043036043316243e-21,1.5365513866374142e-21,2.1105176274932354e-21,4.713664313806408e-21,3.6420602757991266e-21,7.09959731746223e-21,3.511428028419485e-21,5.643896332295391e-21,3.6193752107224735e-21,7.630381986017518e-21,3.456451701436238e-21,6.452630079544482e-21,3.131992294377753e-21,6.730792007369615e-21,2.6171158562852193e-21,3.3132654312006673e-21,3.3184896742491665e-21,7.413414552236012e-21,2.7387683693756113e-21,6.64591828378677e-21,3.13365714186153e-21,5.892841530499373e-21,2.8768314581070987e-21,6.24612996974686e-21,3.3598677323512344e-21,5.805656591675734e-21,2.9071763339033e-21,3.6676181427559975e-21,2.820748811873389e-21,4.2054365954480774e-21,1.5273703829536433e-21,1.6684238491204971e-21,9.830578844975718e-22,1.3032727744346669e-21,4.703781466591753e-21,4.1393975266919316e-21,4.106244541397409e-21,3.595723151244815e-21,2.3499465201340096e-21,2.1598003763981076e-21,3.1175867405376244e-21,3.82505072396152e-21
